"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file with empty directory","LMS service","Sat Mar 28 15:49:47 UTC 2026","passed","Sat Mar 28 15:49:47 UTC 2026","Validate entity","Files","",""
"","264","Create file","LMS service","Sat Mar 28 15:49:45 UTC 2026","passed","Sat Mar 28 15:49:45 UTC 2026","Create entity","Files","",""
"","29","Create course","LMS service","Sat Mar 28 15:49:42 UTC 2026","passed","Sat Mar 28 15:49:42 UTC 2026","Create entity","Courses","",""
"","19","Delete file","LMS service","Sat Mar 28 15:49:48 UTC 2026","passed","Sat Mar 28 15:49:48 UTC 2026","Delete entity","Files","",""
"","560","Create user","LMS service","Sat Mar 28 15:49:48 UTC 2026","passed","Sat Mar 28 15:49:49 UTC 2026","Create entity","Users","",""
"","14","Get exercises","LMS service","Sat Mar 28 15:49:45 UTC 2026","passed","Sat Mar 28 15:49:45 UTC 2026","Get entities","Exercises","",""
"","296","Get exercise","LMS service","Sat Mar 28 15:49:43 UTC 2026","passed","Sat Mar 28 15:49:43 UTC 2026","Get entity","Exercises","",""
"","16","Get courses","LMS service","Sat Mar 28 15:49:41 UTC 2026","passed","Sat Mar 28 15:49:41 UTC 2026","Get entities","Courses","",""
"","24","Create exercise","LMS service","Sat Mar 28 15:49:42 UTC 2026","passed","Sat Mar 28 15:49:42 UTC 2026","Create entity","Exercises","",""
"","558","Create user","LMS service","Sat Mar 28 15:49:48 UTC 2026","passed","Sat Mar 28 15:49:49 UTC 2026","Create entity","Users","",""
"","528","Create user","LMS service","Sat Mar 28 15:49:48 UTC 2026","passed","Sat Mar 28 15:49:48 UTC 2026","Create entity","Users","",""
"","290","Delete exercise","LMS service","Sat Mar 28 15:49:44 UTC 2026","passed","Sat Mar 28 15:49:44 UTC 2026","Delete entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Sat Mar 28 15:49:46 UTC 2026","passed","Sat Mar 28 15:49:46 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Sat Mar 28 15:49:49 UTC 2026","passed","Sat Mar 28 15:49:49 UTC 2026","Get entity","Users","",""
"","259","Get file with incorrect file id","LMS service","Sat Mar 28 15:49:48 UTC 2026","passed","Sat Mar 28 15:49:48 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Sat Mar 28 15:49:46 UTC 2026","passed","Sat Mar 28 15:49:46 UTC 2026","Get entity","Files","",""
"","25","Update exercise","LMS service","Sat Mar 28 15:49:43 UTC 2026","passed","Sat Mar 28 15:49:43 UTC 2026","Update entity","Exercises","",""
"
Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
","546","Login with correct email and password","LMS service","Sat Mar 28 15:49:40 UTC 2026","passed","Sat Mar 28 15:49:40 UTC 2026","Login","Authentication","",""
"","300","Update course","LMS service","Sat Mar 28 15:49:40 UTC 2026","passed","Sat Mar 28 15:49:41 UTC 2026","Update entity","Courses","",""
